image_file,image_relative_path,image_absolute_path,origin_file,origin_relative_path,origin_absolute_path,model_id,classification,geometry_type,renderer_backend,phi_azimuth_deg,theta_polar_deg,elevation_deg,camera_convention,camera_x,camera_y,camera_z,target_x,target_y,target_z,up_x,up_y,up_z,camera_distance,vertical_fov_deg,image_width_px,image_height_px,point_size_px,vertex_count,triangle_count,point_count,has_vertex_colors,has_vertex_normals,used_default_color,computed_vertex_normals,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_center_x,bbox_center_y,bbox_center_z,bounding_sphere_radius,origin_size_bytes,origin_modified_utc,origin_sha256,render_status,rendered_utc
HAD93_3075_1__phi_000__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_000__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_000__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,0,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,-1,-0,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.580018+00:00
HAD93_3075_1__phi_020__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_020__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_020__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,20,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,-0.9396926165,-0.342020154,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.613208+00:00
HAD93_3075_1__phi_040__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_040__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_040__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,40,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,-0.7660444379,-0.6427876353,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.671146+00:00
HAD93_3075_1__phi_060__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_060__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_060__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,60,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,-0.5,-0.8660253882,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.720220+00:00
HAD93_3075_1__phi_080__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_080__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_080__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,80,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,-0.1736481935,-0.9848077893,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.764803+00:00
HAD93_3075_1__phi_100__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_100__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_100__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,100,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,0.1736481935,-0.9848077893,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.809404+00:00
HAD93_3075_1__phi_120__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_120__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_120__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,120,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,0.5,-0.8660253882,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.856180+00:00
HAD93_3075_1__phi_140__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_140__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_140__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,140,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,0.7660444379,-0.6427876353,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.902184+00:00
HAD93_3075_1__phi_160__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_160__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_160__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,160,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,0.9396926165,-0.342020154,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.946720+00:00
HAD93_3075_1__phi_180__theta_000.png,images/pottery/HAD93_3075_1/HAD93_3075_1__phi_180__theta_000.png,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\output\images\pottery\HAD93_3075_1\HAD93_3075_1__phi_180__theta_000.png,HAD93_3075_1.ply,HAD93_3075_1.ply,C:\Users\netta\Downloads\renderer_starter_kit_v2_fixed\renderer_starter_kit\models\HAD93_3075_1.ply,HAD93_3075_1,pottery,triangle_mesh,visualizer,180,0,90,phi: +X toward +Y; theta: down from +Z,-2.726850033,5.74119997,780.7530518,-2.72685,5.7412,518.4725,1,-1.224646853e-16,0,262.2806167,45.0,512,512,,870625,1741254,0,False,False,True,True,-58.6344,-46.9379,466.163,53.1807,58.4203,570.782,-2.72685,5.7412,518.4725,92.93559874,63348196,2026-06-14T14:11:07+00:00,,rendered,2026-07-07T15:51:20.986725+00:00
